A001ABANO TERME                                       PD35031D3AB
L777VEROLANUOVA                                       BS25028C3MD
L778VEROLAVECCHIA                                     BS25029C3ME
L779VEROLENGO                                         TO10038A1PE
L780VEROLI                                            FR03029M2DL
L781VERONA                                            VR37100D6AA
D193VERONELLA                                         VR37040D6BP
L783VERRAYES                                          AO11020B1DN
C282VERRES                                            AO11029B1AR
L784VERRETTO                                          PV27045C7KF
L788VERRUA PO                                         PV27040C7KH
L787VERRUA SAVOIA                                     TO10020A1PF
L792VERTEMATE CON MINOPRIO                            CO22070C4SE
L795VERTOVA                                           BG24029C2MX
L798VERUNO                                            NO28010A5LJ
L799VERVIO                                            SO23030C8DD
L800VERVO'                                            TN38010E1QN
L801VERZEGNIS                                         UD33020F6GX
L804VERZUOLO                                          CN12039A4KL
L805VESCOVANA                                         PD35040D3DX
L806VESCOVATO                                         CR26039C5JL
L807VESIME                                            AT14059A3ER
L808VESPOLATE                                         NO28079A5LK
L809VESSALICO                                         IM18020G2EH
L810VESTENANOVA                                       VR37030D6EM
L811VESTIGNE'                                         TO10030A1PG
L812VESTONE                                           BS25078C3MF
L814VETRALLA                                          VT01019M5CN
L815VETTO                                             RE42020H8BS
L817VEZZA D'ALBA                                      CN12040A4KM
L816VEZZA D'OGLIO                                     BS25059C3MG
L821VEZZANO                                           TN38070E1QP
L819VEZZANO LIGURE                                    SP19020G3BF
L820VEZZANO SUL CROSTOLO                              RE42030H8BT
L823VEZZI PORTIO                                      SV17028G4DK
L826VIADANA                                           MN46019C6CT
L827VIADANICA                                         BG24060C2MY
L828VIAGRANDE                                         CT95029U4CG
